2020-10-02 18:18:36,511 p=6521 u=student n=ansible | changed: [bchd]
2020-10-02 18:18:47,962 p=6521 u=student n=ansible | TASK [etcdbackup : install etcd-client] ********************************************************************************************************************************
2020-10-02 18:18:47,969 p=6521 u=student n=ansible | changed: [master-03]
2020-10-02 18:18:49,213 p=6521 u=student n=ansible | TASK [etcdbackup : mkdir] **********************************************************************************************************************************************
2020-10-02 18:18:49,215 p=6521 u=student n=ansible | changed: [master-03]
2020-10-02 18:18:50,379 p=6521 u=student n=ansible | TASK [etcdbackup : create a pod] ***************************************************************************************************************************************
2020-10-02 18:18:50,380 p=6521 u=student n=ansible | changed: [master-03]
2020-10-02 18:18:51,343 p=6521 u=student n=ansible | TASK [etcdbackup : shell] **********************************************************************************************************************************************
2020-10-02 18:18:51,344 p=6521 u=student n=ansible | changed: [master-03]
2020-10-02 18:18:52,377 p=6521 u=student n=ansible | TASK [etcdbackup : delete the isitback pod] ****************************************************************************************************************************
2020-10-02 18:18:52,378 p=6521 u=student n=ansible | changed: [master-03]
2020-10-02 18:18:53,421 p=6521 u=student n=ansible | TASK [cputopper : command] *********************************************************************************************************************************************
2020-10-02 18:18:53,422 p=6521 u=student n=ansible | changed: [bchd]
2020-10-02 18:18:55,379 p=6521 u=student n=ansible | TASK [cputopper : command] *********************************************************************************************************************************************
2020-10-02 18:18:55,380 p=6521 u=student n=ansible | changed: [bchd]
2020-10-02 18:18:57,181 p=6521 u=student n=ansible | TASK [cputopper : command] *********************************************************************************************************************************************
2020-10-02 18:18:57,182 p=6521 u=student n=ansible | changed: [bchd]
2020-10-02 18:18:59,010 p=6521 u=student n=ansible | TASK [cputopper : command] *********************************************************************************************************************************************
2020-10-02 18:18:59,015 p=6521 u=student n=ansible | changed: [bchd]
2020-10-02 18:19:00,338 p=6521 u=student n=ansible | TASK [dragon : command] ************************************************************************************************************************************************
2020-10-02 18:19:00,341 p=6521 u=student n=ansible | changed: [bchd]
2020-10-02 18:19:01,325 p=6521 u=student n=ansible | TASK [labeler : command] ***********************************************************************************************************************************************
2020-10-02 18:19:01,326 p=6521 u=student n=ansible | changed: [bchd]
2020-10-02 18:20:02,380 p=6521 u=student n=ansible | TASK [imagepuller : command] *******************************************************************************************************************************************
2020-10-02 18:20:02,382 p=6521 u=student n=ansible | changed: [bchd]
2020-10-02 18:20:41,350 p=6521 u=student n=ansible | TASK [imagepuller : command] *******************************************************************************************************************************************
2020-10-02 18:20:41,353 p=6521 u=student n=ansible | changed: [bchd]
2020-10-02 18:20:42,242 p=6521 u=student n=ansible | TASK [imagepuller : command] *******************************************************************************************************************************************
2020-10-02 18:20:42,245 p=6521 u=student n=ansible | changed: [bchd]
2020-10-02 18:20:43,047 p=6521 u=student n=ansible | TASK [imagepuller : command] *******************************************************************************************************************************************
2020-10-02 18:20:43,049 p=6521 u=student n=ansible | fatal: [bchd]: FAILED! => {"changed": true, "cmd": ["docker", "image", "push", "reg.alta3.com/aloha"], "delta": "0:00:00.147381", "end": "2020-10-02 18:20:42.979398", "msg": "non-zero return code", "rc": 1, "start": "2020-10-02 18:20:42.832017", "stderr": "Get https://reg.alta3.com/v2/: dial tcp: lookup reg.alta3.com on [::1]:53: read udp [::1]:48258->[::1]:53: read: connection refused", "stderr_lines": ["Get https://reg.alta3.com/v2/: dial tcp: lookup reg.alta3.com on [::1]:53: read udp [::1]:48258->[::1]:53: read: connection refused"], "stdout": "The push refers to repository [reg.alta3.com/aloha]", "stdout_lines": ["The push refers to repository [reg.alta3.com/aloha]"]}
2020-10-02 18:20:43,050 p=6521 u=student n=ansible | ...ignoring
2020-10-02 18:20:44,486 p=6521 u=student n=ansible | TASK [aloha : command] *************************************************************************************************************************************************
2020-10-02 18:20:44,488 p=6521 u=student n=ansible | changed: [bchd]
2020-10-02 18:20:45,913 p=6521 u=student n=ansible | TASK [pvmaker : Create the ReadWriteOnce PV] ***************************************************************************************************************************
2020-10-02 18:20:45,914 p=6521 u=student n=ansible | changed: [bchd]
2020-10-02 18:20:48,141 p=6521 u=student n=ansible | TASK [deppy : command] *************************************************************************************************************************************************
2020-10-02 18:20:48,151 p=6521 u=student n=ansible | changed: [bchd]
2020-10-02 18:20:50,063 p=6521 u=student n=ansible | TASK [filenotfound : command] ******************************************************************************************************************************************
2020-10-02 18:20:50,065 p=6521 u=student n=ansible | changed: [bchd]
2020-10-02 18:20:51,646 p=6521 u=student n=ansible | TASK [loggy : Start up the logger pod] *********************************************************************************************************************************
2020-10-02 18:20:51,647 p=6521 u=student n=ansible | changed: [bchd]
2020-10-02 18:20:56,739 p=6521 u=student n=ansible | TASK [stopkubelet : stop kubelet] **************************************************************************************************************************************
2020-10-02 18:20:56,740 p=6521 u=student n=ansible | changed: [node-02]
2020-10-02 18:20:56,783 p=6521 u=student n=ansible | PLAY RECAP *************************************************************************************************************************************************************
2020-10-02 18:20:56,784 p=6521 u=student n=ansible | bchd                       : ok=38   changed=33   unreachable=0    failed=0    skipped=21   rescued=0    ignored=2   
2020-10-02 18:20:56,785 p=6521 u=student n=ansible | master-01                  : ok=6    changed=4    unreachable=0    failed=0    skipped=53   rescued=0    ignored=1   
2020-10-02 18:20:56,786 p=6521 u=student n=ansible | master-02                  : ok=13   changed=11   unreachable=0    failed=0    skipped=46   rescued=0    ignored=1   
2020-10-02 18:20:56,787 p=6521 u=student n=ansible | master-03                  : ok=18   changed=16   unreachable=0    failed=0    skipped=41   rescued=0    ignored=1   
2020-10-02 18:20:56,788 p=6521 u=student n=ansible | node-01                    : ok=12   changed=9    unreachable=0    failed=0    skipped=47   rescued=0    ignored=1   
2020-10-02 18:20:56,789 p=6521 u=student n=ansible | node-02                    : ok=13   changed=10   unreachable=0    failed=0    skipped=46   rescued=0    ignored=1   
2020-10-02 18:20:56,790 p=6521 u=student n=ansible | node-03                    : ok=12   changed=9    unreachable=0    failed=0    skipped=47   rescued=0    ignored=1   
2020-10-09 14:53:59,030 p=12382 u=student n=ansible |  __________________
< PLAY [CKA Setup] >
 ------------------
        \   ^__^
         \  (oo)\_______
            (__)\       )\/\
                ||----w |
                ||     ||


2020-10-09 14:54:01,303 p=12382 u=student n=ansible |  ________________________
< TASK [Gathering Facts] >
 ------------------------
        \   ^__^
         \  (oo)\_______
            (__)\       )\/\
                ||----w |
                ||     ||


2020-10-09 14:54:01,307 p=12382 u=student n=ansible | ok: [node-01]
2020-10-09 14:54:01,349 p=12382 u=student n=ansible | ok: [master-01]
2020-10-09 14:54:01,399 p=12382 u=student n=ansible | ok: [bchd]
2020-10-09 14:54:01,500 p=12382 u=student n=ansible | ok: [node-02]
2020-10-09 14:54:01,539 p=12382 u=student n=ansible | ok: [node-03]
2020-10-09 14:54:02,636 p=12382 u=student n=ansible | ok: [master-02]
2020-10-09 14:54:02,652 p=12382 u=student n=ansible | ok: [master-03]
2020-10-09 14:54:03,719 p=12382 u=student n=ansible |  ________________
< TASK [command] >
 ----------------
        \   ^__^
         \  (oo)\_______
            (__)\       )\/\
                ||----w |
                ||     ||


